relay_id,type,max_bandwidth_bps,max_energy_joules
gbs_0,GBS,50000000,1000000
gbs_1,GBS,50000000,1000000
gbs_2,GBS,50000000,1000000
gbs_3,GBS,50000000,1000000
gbs_4,GBS,50000000,1000000
gbs_5,GBS,50000000,1000000
gbs_6,GBS,50000000,1000000
gbs_7,GBS,50000000,1000000
gbs_8,GBS,50000000,1000000
gbs_9,GBS,50000000,1000000
gbs_10,GBS,50000000,1000000
gbs_11,GBS,50000000,1000000
gbs_12,GBS,50000000,1000000
gbs_13,GBS,50000000,1000000
gbs_14,GBS,50000000,1000000
gbs_15,GBS,50000000,1000000
gbs_16,GBS,50000000,1000000
gbs_17,GBS,50000000,1000000
gbs_18,GBS,50000000,1000000
gbs_19,GBS,50000000,1000000
gbs_20,GBS,50000000,1000000
gbs_21,GBS,50000000,1000000
gbs_22,GBS,50000000,1000000
gbs_23,GBS,50000000,1000000
gbs_24,GBS,50000000,1000000
gbs_25,GBS,50000000,1000000
gbs_26,GBS,50000000,1000000
gbs_27,GBS,50000000,1000000
gbs_28,GBS,50000000,1000000
gbs_29,GBS,50000000,1000000
gbs_30,GBS,50000000,1000000
gbs_31,GBS,50000000,1000000
gbs_32,GBS,50000000,1000000
gbs_33,GBS,50000000,1000000
gbs_34,GBS,50000000,1000000
uav_0,UAV,150000000,500000
uav_1,UAV,150000000,500000
uav_2,UAV,150000000,500000
uav_3,UAV,150000000,500000
uav_4,UAV,150000000,500000
uav_5,UAV,150000000,500000
uav_6,UAV,150000000,500000
uav_7,UAV,150000000,500000
uav_8,UAV,150000000,500000
uav_9,UAV,150000000,500000
leo_0,LEO,500000000,99999999
leo_1,LEO,500000000,99999999
leo_2,LEO,500000000,99999999
leo_3,LEO,500000000,99999999
leo_4,LEO,500000000,99999999
